Year,Return
1979,6.90898083358964
1980,38.9291857514981
1981,13.6248009894641
1982,24.5745424371844
1983,41.4514068011474
1984,19.7424318576839
1985,15.8036924205314
1986,18.6286531081198
1987,-4.13316022080831
1988,31.7183930689025
1989,18.3470751443143
1990,-29.2930248535875
1991,24.5595456720105
1992,-0.369613832317666
1993,34.2784146505939
1994,-2.19420711386619
1995,14.7671249342646
1996,16.4927664552532
1997,29.3605545519301
1998,17.6007598531719
1999,46.200917229383
2000,-6.26434398536187
2001,-12.1804797156255
2002,-32.6743738255478
2003,10.5216915935882
2004,6.37433241872556
2005,26.4137721281953
2006,7.5488986000135
2007,-2.45254265858171
2008,-37.2874905248147
2009,25.575937449017
2010,20.4955925346942
2011,-2.45226607712806
2012,13.5873918079365
2013,21.1928404173716
2014,19.1980694297036
2015,10.5467431004129
2016,11.0394443809705
2017,7.58124647687713
2018,-4.38226882423109
2019,30.124827572423
2020,6.1077804742091
2021,31.9812155440388
2022,-13.076273337277
2023,19.485397038144
2024,26.2213442899703
